,timestamp,Fire_rune,Water_rune,Air_rune,Earth_rune,Mind_rune,Body_rune,Death_rune,Nature_rune,Chaos_rune,Law_rune,Cosmic_rune,Blood_rune,Soul_rune
0,2021-04-24,5,4,5,5,3,5,183,166,42,116,106,364,146
1,2021-04-25,5,5,5,5,3,6,182,167,41,117,103,364,145
2,2021-04-26,5,5,5,4,3,5,182,170,40,117,105,362,144
3,2021-04-27,5,5,5,4,3,5,182,173,40,118,109,360,144
4,2021-04-28,5,5,5,5,3,5,180,174,41,118,114,358,143
5,2021-04-29,5,5,5,5,3,5,179,176,41,117,120,358,143
6,2021-04-30,5,5,5,4,3,5,179,176,42,118,126,357,144
7,2021-05-01,5,5,5,5,3,5,179,174,43,119,127,358,148
8,2021-05-02,5,5,5,5,3,5,182,172,44,117,127,359,147
9,2021-05-03,5,5,5,5,3,5,184,170,45,113,131,363,144
10,2021-05-04,5,5,5,5,3,5,187,170,45,114,130,363,144
11,2021-05-05,5,5,5,5,3,5,189,167,46,115,128,362,144
12,2021-05-06,5,5,5,5,3,5,191,166,45,116,126,361,144
13,2021-05-07,5,5,5,5,3,6,192,166,45,117,122,356,143
14,2021-05-08,5,5,5,5,3,5,189,164,45,117,118,352,144
15,2021-05-09,5,5,5,5,3,6,190,164,44,116,118,350,144
16,2021-05-10,5,4,5,4,3,6,191,165,43,116,118,347,143
17,2021-05-11,5,5,5,5,3,5,193,166,43,114,115,344,143
18,2021-05-12,5,5,5,5,3,6,195,166,44,116,114,343,145
19,2021-05-13,5,5,5,5,3,5,195,165,44,119,113,340,144
20,2021-05-14,5,5,5,5,3,5,196,169,45,119,113,340,144
21,2021-05-15,5,5,5,5,3,5,197,170,46,119,114,340,144
22,2021-05-16,5,5,5,5,3,5,199,171,47,118,119,340,144
23,2021-05-17,5,5,5,5,3,5,201,171,46,115,118,338,143
24,2021-05-18,5,5,5,5,3,5,200,170,45,115,113,338,144
25,2021-05-19,5,5,5,5,3,5,198,168,43,117,108,340,140
26,2021-05-20,5,5,5,5,3,5,197,168,44,118,107,342,145
27,2021-05-21,5,5,5,5,3,5,196,169,44,119,110,344,144
28,2021-05-22,5,5,5,5,3,5,195,168,45,118,110,343,145
29,2021-05-23,5,5,5,5,3,5,193,167,45,118,107,344,145
30,2021-05-24,5,5,5,5,3,5,188,168,45,119,106,344,145
31,2021-05-25,5,5,5,5,3,6,186,166,45,121,104,343,145
32,2021-05-26,5,5,5,5,3,5,185,168,45,123,104,343,144
33,2021-05-27,5,5,5,5,3,6,183,171,46,126,104,347,144
34,2021-05-28,5,4,4,4,3,5,183,171,46,125,100,354,142
