timestamp,Oak_logs,Willow_logs,Maple_logs,Yew_logs
1619740800000,57,19,11,236
1619827200000,58,19,11,234
1619913600000,61,19,11,230
1620000000000,65,19,11,227
1620086400000,69,19,11,224
1620172800000,72,19,11,218
1620259200000,74,19,12,222
1620345600000,75,19,13,231
1620432000000,76,19,14,237
1620518400000,75,19,15,234
1620604800000,76,19,14,238
1620691200000,77,19,14,243
1620777600000,74,19,14,240
1620864000000,74,19,14,242
1620950400000,72,19,14,241
1621036800000,74,19,14,238
1621123200000,75,19,14,238
1621209600000,75,19,15,234
1621296000000,73,19,15,235
1621382400000,71,19,14,234
1621468800000,71,19,14,232
1621555200000,73,19,14,232
1621641600000,75,19,15,230
1621728000000,74,19,15,234
1621814400000,75,19,14,243
1621900800000,78,19,14,248
1621987200000,78,19,14,247
1622073600000,78,19,14,247
1622160000000,78,19,14,247
1622246400000,78,19,14,253
1622332800000,81,19,14,255
1622419200000,85,19,14,257
1622505600000,87,19,14,256
1622592000000,85,19,14,253
1622678400000,83,19,14,251
1622764800000,82,19,14,258
1622851200000,80,19,14,259
1622937600000,77,19,14,251
1623024000000,79,19,14,244
1623110400000,78,19,14,240
1623196800000,77,19,14,241
1623283200000,76,19,14,238
1623369600000,74,19,14,234
1623456000000,70,19,14,227
1623542400000,66,19,14,226
1623628800000,62,19,14,226
1623715200000,58,19,13,228
1623801600000,56,19,13,232
1623888000000,53,19,12,233
1623974400000,50,19,12,235
1624060800000,52,19,12,234
1624147200000,54,19,12,236
1624233600000,57,19,12,236
1624320000000,58,19,12,236
1624406400000,58,19,12,235
1624492800000,58,19,12,234
1624579200000,61,19,12,235
1624665600000,64,19,12,234
1624752000000,67,19,12,232
1624838400000,68,18,12,228
1624924800000,67,19,12,225
1625011200000,67,19,12,221
1625097600000,67,19,12,222
1625184000000,66,19,12,221
1625270400000,68,19,12,218
1625356800000,69,19,12,212
1625443200000,70,19,12,210
1625529600000,69,19,12,212
1625616000000,72,19,12,214
1625702400000,73,19,12,213
1625788800000,70,19,12,213
1625875200000,69,19,12,212
1625961600000,70,19,12,215
1626048000000,69,19,12,220
1626134400000,67,19,11,222
1626220800000,70,19,11,226
1626307200000,72,19,11,226
1626393600000,75,19,11,228
1626480000000,77,19,11,226
1626566400000,75,19,11,218
1626652800000,74,19,11,217
1626739200000,72,19,11,219
1626825600000,69,19,11,220
1626912000000,66,19,11,217
1626998400000,65,19,12,216
1627084800000,64,19,11,215
1627171200000,64,19,11,209
1627257600000,67,19,11,207
1627344000000,70,19,11,209
1627430400000,73,19,11,212
1627516800000,75,19,11,214
1627603200000,78,19,11,217
1627689600000,80,19,11,214
1627776000000,76,19,11,211
1627862400000,72,19,11,210
1627948800000,71,19,11,211
1628035200000,73,19,11,213
1628121600000,73,19,11,213
1628208000000,72,19,10,209
1628294400000,71,19,10,208
1628380800000,69,19,10,207
1628467200000,65,19,10,207
1628553600000,62,19,10,207
1628640000000,63,19,10,211
1628726400000,61,19,10,213
1628812800000,65,19,10,215
1628899200000,68,19,10,219
1628985600000,67,19,10,217
1629072000000,66,19,10,211
1629158400000,67,19,10,209
1629244800000,71,19,10,212
1629331200000,68,19,10,212
1629417600000,72,19,10,217
1629504000000,71,19,10,222
1629590400000,69,19,10,219
1629676800000,69,19,9,218
1629763200000,68,19,9,222
1629849600000,67,19,10,222
1629936000000,66,19,10,221
1630022400000,64,19,10,222
1630108800000,65,19,9,219
1630195200000,66,20,9,214
1630281600000,64,20,9,209
1630368000000,63,20,9,210
1630454400000,60,20,10,211
1630540800000,60,20,10,212
1630627200000,57,20,10,211
1630713600000,58,20,9,211
1630800000000,57,19,9,216
1630886400000,57,20,9,221
1630972800000,56,20,9,218
1631059200000,57,20,9,217
1631145600000,57,20,9,219
1631232000000,58,20,9,214
1631318400000,59,20,9,212
1631404800000,59,20,9,216
1631491200000,59,20,9,215
1631577600000,61,19,9,217
1631664000000,61,19,9,221
1631750400000,64,19,9,218
1631836800000,66,19,9,217
1631923200000,66,19,9,215
1632009600000,66,19,9,215
1632096000000,66,19,9,216
1632182400000,66,19,9,218
1632268800000,64,19,9,218
1632355200000,65,19,9,216
1632441600000,62,19,9,216
1632528000000,59,19,9,216
1632614400000,56,19,9,214
1632700800000,53,19,9,213
1632787200000,52,19,9,213
1632873600000,51,19,9,213
1632960000000,52,19,9,213
1633046400000,53,19,9,212
1633132800000,55,18,9,210
1633219200000,56,18,9,206
1633305600000,55,18,9,198
1633392000000,55,18,9,199
1633478400000,55,18,9,201
1633564800000,56,18,9,197
1633651200000,55,18,9,206
1633737600000,54,18,9,207
1633824000000,54,18,9,207
1633910400000,54,18,9,206
1633996800000,54,18,9,206
1634083200000,54,18,9,205
1634169600000,54,18,9,206
1634256000000,53,18,9,205
1634342400000,51,18,9,204
1634428800000,52,18,9,204
1634515200000,52,18,9,208
1634601600000,53,18,9,211
1634688000000,53,19,9,213
1634774400000,53,19,9,216
1634860800000,52,19,9,216
1634947200000,52,18,9,217
1635033600000,52,18,9,214
1635120000000,54,19,9,216
1635206400000,55,19,9,218
